CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 0 251.718750 1587455260.9931
CHLD 1 251.128906 1587455260.9932
CHLD 2 328.246094 1587455261.0216
MEM 975.605469 1587455261.1322
CHLD 0 251.718750 1587455261.1507
CHLD 1 251.386719 1587455261.1507
CHLD 2 328.246094 1587455261.1507
MEM 975.863281 1587455261.2595
CHLD 0 251.976562 1587455261.2870
CHLD 1 251.386719 1587455261.2871
CHLD 2 328.246094 1587455261.2871
MEM 976.175781 1587455261.3999
CHLD 0 251.976562 1587455261.4298
CHLD 1 251.644531 1587455261.4299
CHLD 2 328.300781 1587455261.4299
MEM 976.402344 1587455261.5428
CHLD 0 251.976562 1587455261.5635
CHLD 1 251.644531 1587455261.5636
CHLD 2 328.527344 1587455261.5636
MEM 977.031250 1587455261.6812
CHLD 0 252.234375 1587455261.6940
CHLD 1 252.160156 1587455261.6940
CHLD 2 328.640625 1587455261.6941
MEM 991.292969 1587455261.8090
CHLD 0 252.492188 1587455261.8358
CHLD 1 252.417969 1587455261.8359
CHLD 2 374.613281 1587455261.8359
MEM 1151.566406 1587455261.9453
CHLD 0 252.750000 1587455261.9599
CHLD 1 252.675781 1587455261.9600
CHLD 2 506.011719 1587455261.9600
MEM 1191.011719 1587455262.0731
CHLD 0 253.007812 1587455262.0873
CHLD 1 252.933594 1587455262.0873
CHLD 2 544.167969 1587455262.0874
MEM 1276.863281 1587455262.2002
CHLD 0 253.265625 1587455262.2307
CHLD 1 253.191406 1587455262.2307
CHLD 2 626.152344 1587455262.2308
MEM 1278.277344 1587455262.3459
CHLD 0 253.972656 1587455262.3667
CHLD 1 253.898438 1587455262.3667
CHLD 2 626.152344 1587455262.3668
MEM 1157.167969 1587455262.4809
CHLD 0 254.230469 1587455262.5002
CHLD 1 253.898438 1587455262.5002
CHLD 2 509.683594 1587455262.5003
MEM 1136.078125 1587455262.6188
CHLD 0 197.820312 1587455262.6290
CHLD 1 254.156250 1587455262.6291
