CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1253.902344 1587455463.9097
CHLD 0 220.648438 1587455463.9444
CHLD 1 209.484375 1587455463.9445
CHLD 2 678.964844 1587455463.9445
MEM 1253.902344 1587455464.0549
CHLD 0 220.648438 1587455464.0683
CHLD 1 209.484375 1587455464.0684
CHLD 2 678.964844 1587455464.0684
MEM 1253.929688 1587455464.1783
CHLD 0 220.648438 1587455464.2252
CHLD 1 209.511719 1587455464.2253
CHLD 2 678.964844 1587455464.2253
MEM 1254.117188 1587455464.3343
CHLD 0 220.648438 1587455464.3700
CHLD 1 209.710938 1587455464.3701
CHLD 2 678.964844 1587455464.3701
MEM 1178.984375 1587455464.4831
CHLD 0 220.652344 1587455464.5216
CHLD 1 220.535156 1587455464.5217
CHLD 2 557.773438 1587455464.5217
MEM 1160.476562 1587455464.6320
CHLD 0 227.253906 1587455464.6595
CHLD 1 220.746094 1587455464.6595
CHLD 2 575.820312 1587455464.6595
MEM 1214.617188 1587455464.7687
CHLD 0 269.378906 1587455464.8096
CHLD 1 220.746094 1587455464.8096
CHLD 2 586.132812 1587455464.8097
MEM 1239.109375 1587455464.9214
CHLD 0 280.207031 1587455464.9485
CHLD 1 220.746094 1587455464.9485
CHLD 2 596.445312 1587455464.9486
MEM 1276.234375 1587455465.0621
CHLD 0 296.449219 1587455465.0717
CHLD 1 220.746094 1587455465.0717
CHLD 2 622.484375 1587455465.0717
MEM 1411.648438 1587455465.1943
CHLD 0 296.507812 1587455465.2109
CHLD 1 296.546875 1587455465.2109
CHLD 2 678.945312 1587455465.2110
MEM 1391.855469 1587455465.3261
CHLD 0 274.335938 1587455465.3370
CHLD 1 296.605469 1587455465.3371
CHLD 2 678.945312 1587455465.3371
MEM 1416.863281 1587455465.4565
CHLD 0 296.507812 1587455465.4724
CHLD 1 296.605469 1587455465.4725
CHLD 2 678.945312 1587455465.4726
MEM 1277.566406 1587455465.5855
CHLD 0 296.507812 1587455465.5972
CHLD 1 296.605469 1587455465.5973
CHLD 2 539.648438 1587455465.5973
MEM 1213.890625 1587455465.7058
CHLD 0 264.542969 1587455465.7144
CHLD 1 264.640625 1587455465.7144
CHLD 2 539.902344 1587455465.7144
MEM 1214.148438 1587455465.8226
CHLD 0 264.542969 1587455465.8338
CHLD 1 264.640625 1587455465.8338
CHLD 2 540.160156 1587455465.8338
MEM 1214.406250 1587455465.9429
CHLD 0 264.542969 1587455465.9510
CHLD 1 264.640625 1587455465.9511
CHLD 2 540.417969 1587455465.9511
MEM 1214.664062 1587455466.0610
CHLD 0 264.542969 1587455466.0698
CHLD 1 264.640625 1587455466.0699
CHLD 2 540.675781 1587455466.0699
MEM 1214.921875 1587455466.1792
CHLD 0 264.542969 1587455466.1871
CHLD 1 264.640625 1587455466.1871
CHLD 2 540.933594 1587455466.1871
MEM 1215.179688 1587455466.2966
CHLD 0 264.542969 1587455466.3050
CHLD 1 264.640625 1587455466.3050
CHLD 2 541.191406 1587455466.3051
MEM 1215.437500 1587455466.4141
CHLD 0 264.542969 1587455466.4218
CHLD 1 264.640625 1587455466.4219
CHLD 2 541.449219 1587455466.4219
MEM 1215.695312 1587455466.5315
CHLD 0 264.542969 1587455466.5424
CHLD 1 264.640625 1587455466.5425
CHLD 2 541.707031 1587455466.5425
MEM 1215.953125 1587455466.6516
CHLD 0 264.542969 1587455466.6606
CHLD 1 264.640625 1587455466.6607
CHLD 2 542.222656 1587455466.6607
MEM 1216.468750 1587455466.7712
CHLD 0 264.542969 1587455466.7860
CHLD 1 264.640625 1587455466.7861
CHLD 2 542.480469 1587455466.7861
MEM 1216.726562 1587455466.8955
CHLD 0 264.542969 1587455466.9034
CHLD 1 264.640625 1587455466.9034
CHLD 2 542.738281 1587455466.9034
MEM 1216.984375 1587455467.0127
CHLD 0 264.542969 1587455467.0205
CHLD 1 264.640625 1587455467.0206
CHLD 2 542.996094 1587455467.0206
MEM 1217.242188 1587455467.1303
CHLD 0 264.542969 1587455467.1478
CHLD 1 264.640625 1587455467.1478
CHLD 2 543.253906 1587455467.1478
MEM 1217.500000 1587455467.2582
CHLD 0 264.542969 1587455467.2666
CHLD 1 264.640625 1587455467.2667
CHLD 2 543.511719 1587455467.2667
MEM 1151.964844 1587455467.3770
CHLD 0 264.542969 1587455467.3868
CHLD 1 220.609375 1587455467.3869
CHLD 2 543.769531 1587455467.3869
MEM 1173.984375 1587455467.4973
CHLD 0 264.542969 1587455467.5068
CHLD 1 220.695312 1587455467.5068
CHLD 2 544.027344 1587455467.5072
MEM 1174.839844 1587455467.6214
CHLD 0 264.542969 1587455467.6388
CHLD 1 221.207031 1587455467.6389
CHLD 2 544.285156 1587455467.6389
MEM 1174.839844 1587455467.7514
CHLD 0 264.542969 1587455467.7879
CHLD 1 221.207031 1587455467.7879
CHLD 2 544.542969 1587455467.7879
MEM 1175.097656 1587455467.8966
CHLD 0 264.542969 1587455467.9131
CHLD 1 221.207031 1587455467.9131
CHLD 2 544.542969 1587455467.9131
MEM 1175.355469 1587455468.0216
CHLD 0 264.542969 1587455468.0299
CHLD 1 221.394531 1587455468.0299
CHLD 2 544.800781 1587455468.0300
MEM 1175.785156 1587455468.1389
CHLD 0 264.542969 1587455468.1513
CHLD 1 221.378906 1587455468.1513
CHLD 2 545.058594 1587455468.1514
MEM 1175.785156 1587455468.2627
CHLD 0 264.542969 1587455468.2885
CHLD 1 221.378906 1587455468.2885
CHLD 2 545.058594 1587455468.2886
MEM 1176.042969 1587455468.3978
CHLD 0 264.542969 1587455468.4227
CHLD 1 221.378906 1587455468.4228
CHLD 2 545.316406 1587455468.4228
MEM 1185.597656 1587455468.5368
CHLD 0 264.542969 1587455468.5479
CHLD 1 248.980469 1587455468.5480
CHLD 2 545.574219 1587455468.5480
MEM 1170.519531 1587455468.6601
CHLD 0 198.933594 1587455468.6761
CHLD 1 250.656250 1587455468.6761
CHLD 2 545.832031 1587455468.6761
MEM 1192.925781 1587455468.7895
CHLD 0 220.695312 1587455468.8021
CHLD 1 281.078125 1587455468.8021
CHLD 2 546.347656 1587455468.8022
MEM 972.492188 1587455468.9099
CHLD 0 281.078125 1587455468.9169
CHLD 1 546.605469 1587455468.9170
MEM 972.750000 1587455469.0268
CHLD 0 281.078125 1587455469.0353
CHLD 1 546.863281 1587455469.0354
MEM 941.042969 1587455469.1459
CHLD 0 249.113281 1587455469.1537
CHLD 1 547.121094 1587455469.1538
MEM 941.558594 1587455469.2627
CHLD 0 249.113281 1587455469.2747
CHLD 1 547.636719 1587455469.2747
MEM 941.816406 1587455469.3842
CHLD 0 249.113281 1587455469.3921
CHLD 1 547.894531 1587455469.3921
MEM 942.332031 1587455469.5003
CHLD 0 249.113281 1587455469.5087
CHLD 1 548.410156 1587455469.5087
MEM 942.589844 1587455469.6174
CHLD 0 249.113281 1587455469.6265
CHLD 1 548.667969 1587455469.6265
MEM 943.105469 1587455469.7347
CHLD 0 249.113281 1587455469.7425
CHLD 1 549.183594 1587455469.7426
MEM 943.363281 1587455469.8509
CHLD 0 249.113281 1587455469.8587
CHLD 1 549.441406 1587455469.8588
MEM 943.878906 1587455469.9694
CHLD 0 249.113281 1587455469.9788
CHLD 1 549.957031 1587455469.9788
MEM 944.394531 1587455470.0870
CHLD 0 249.113281 1587455470.0949
CHLD 1 550.472656 1587455470.0950
MEM 944.652344 1587455470.2031
CHLD 0 249.113281 1587455470.2116
CHLD 1 550.730469 1587455470.2117
MEM 945.167969 1587455470.3199
CHLD 0 249.113281 1587455470.3280
CHLD 1 551.246094 1587455470.3281
MEM 945.425781 1587455470.4366
CHLD 0 249.113281 1587455470.4452
CHLD 1 551.503906 1587455470.4453
MEM 696.828125 1587455470.5533
CHLD 0 0.000000 1587455470.5610
CHLD 1 552.019531 1587455470.5611
MEM 697.085938 1587455470.6690
CHLD 0 0.000000 1587455470.6766
CHLD 1 552.277344 1587455470.6767
MEM 697.601562 1587455470.7847
CHLD 0 0.000000 1587455470.7925
CHLD 1 552.792969 1587455470.7925
MEM 698.117188 1587455470.9006
CHLD 0 0.000000 1587455470.9081
CHLD 1 553.308594 1587455470.9082
MEM 698.375000 1587455471.0164
CHLD 0 0.000000 1587455471.0239
CHLD 1 553.566406 1587455471.0240
MEM 698.890625 1587455471.1327
CHLD 0 0.000000 1587455471.1408
CHLD 1 554.082031 1587455471.1409
MEM 699.148438 1587455471.2481
CHLD 0 0.000000 1587455471.2541
CHLD 1 554.339844 1587455471.2541
MEM 699.664062 1587455471.3611
CHLD 0 0.000000 1587455471.3673
CHLD 1 554.855469 1587455471.3674
MEM 699.921875 1587455471.4738
CHLD 0 0.000000 1587455471.4798
CHLD 1 555.371094 1587455471.4798
MEM 700.437500 1587455471.5864
CHLD 0 0.000000 1587455471.5922
CHLD 1 555.628906 1587455471.5922
MEM 700.953125 1587455471.6989
CHLD 0 0.000000 1587455471.7046
CHLD 1 556.144531 1587455471.7046
MEM 701.210938 1587455471.8111
CHLD 0 0.000000 1587455471.8170
CHLD 1 556.660156 1587455471.8170
MEM 701.726562 1587455471.9233
CHLD 0 0.000000 1587455471.9294
CHLD 1 556.917969 1587455471.9294
MEM 702.242188 1587455472.0356
