CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 1 263.984375 1587455328.5358
CHLD 2 678.550781 1587455328.5359
MEM 1349.890625 1587455328.6540
CHLD 0 263.828125 1587455328.6635
CHLD 1 263.984375 1587455328.6635
CHLD 2 551.191406 1587455328.6635
MEM 1210.593750 1587455328.7721
CHLD 0 263.828125 1587455328.7861
CHLD 1 263.984375 1587455328.7862
CHLD 2 539.253906 1587455328.7862
MEM 1210.847656 1587455328.8989
CHLD 0 263.828125 1587455328.9106
CHLD 1 263.984375 1587455328.9107
CHLD 2 539.507812 1587455328.9107
MEM 1211.105469 1587455329.0198
CHLD 0 263.828125 1587455329.0319
CHLD 1 263.984375 1587455329.0319
CHLD 2 539.765625 1587455329.0321
MEM 1211.363281 1587455329.1429
CHLD 0 263.828125 1587455329.1553
CHLD 1 263.984375 1587455329.1554
CHLD 2 540.281250 1587455329.1554
MEM 1211.878906 1587455329.2691
CHLD 0 263.828125 1587455329.2840
CHLD 1 263.984375 1587455329.2840
CHLD 2 540.539062 1587455329.2840
MEM 1212.136719 1587455329.4021
CHLD 0 263.828125 1587455329.4145
CHLD 1 263.984375 1587455329.4146
CHLD 2 540.796875 1587455329.4146
MEM 1212.394531 1587455329.5289
CHLD 0 263.828125 1587455329.5371
CHLD 1 263.984375 1587455329.5371
CHLD 2 541.054688 1587455329.5371
MEM 1212.652344 1587455329.6487
CHLD 0 263.828125 1587455329.6610
CHLD 1 263.984375 1587455329.6610
CHLD 2 541.312500 1587455329.6611
MEM 1212.910156 1587455329.7726
CHLD 0 263.828125 1587455329.7866
CHLD 1 263.984375 1587455329.7866
CHLD 2 541.570312 1587455329.7867
MEM 1213.167969 1587455329.8961
CHLD 0 263.828125 1587455329.9090
CHLD 1 263.984375 1587455329.9090
CHLD 2 541.828125 1587455329.9091
MEM 1169.628906 1587455330.0183
CHLD 0 220.031250 1587455330.0291
CHLD 1 263.984375 1587455330.0291
CHLD 2 542.085938 1587455330.0292
MEM 949.863281 1587455330.1356
CHLD 0 263.984375 1587455330.1417
CHLD 1 542.343750 1587455330.1417
MEM 950.121094 1587455330.2499
CHLD 0 263.984375 1587455330.2589
CHLD 1 542.601562 1587455330.2589
MEM 950.636719 1587455330.3688
CHLD 0 263.984375 1587455330.3774
CHLD 1 543.117188 1587455330.3774
MEM 950.894531 1587455330.4860
CHLD 0 263.984375 1587455330.4941
CHLD 1 543.375000 1587455330.4942
MEM 951.410156 1587455330.6024
CHLD 0 263.984375 1587455330.6121
CHLD 1 543.890625 1587455330.6122
MEM 951.667969 1587455330.7210
CHLD 0 263.984375 1587455330.7289
CHLD 1 544.148438 1587455330.7290
MEM 908.152344 1587455330.8384
CHLD 0 219.953125 1587455330.8470
CHLD 1 544.664062 1587455330.8470
MEM 909.183594 1587455330.9556
CHLD 0 220.468750 1587455330.9638
CHLD 1 545.179688 1587455330.9639
MEM 909.699219 1587455331.0730
CHLD 0 220.726562 1587455331.1064
CHLD 1 545.437500 1587455331.1065
MEM 909.957031 1587455331.2231
CHLD 0 220.726562 1587455331.2404
CHLD 1 545.695312 1587455331.2405
MEM 909.957031 1587455331.3527
CHLD 0 220.726562 1587455331.3871
CHLD 1 545.695312 1587455331.3871
MEM 910.238281 1587455331.4956
CHLD 0 220.750000 1587455331.5233
CHLD 1 545.953125 1587455331.5233
MEM 910.496094 1587455331.6324
CHLD 0 220.750000 1587455331.6535
CHLD 1 546.468750 1587455331.6536
MEM 910.753906 1587455331.7646
CHLD 0 220.750000 1587455331.7916
CHLD 1 546.468750 1587455331.7916
MEM 911.011719 1587455331.8999
CHLD 0 220.750000 1587455331.9080
CHLD 1 546.726562 1587455331.9081
MEM 971.082031 1587455332.0185
CHLD 0 280.304688 1587455332.0283
CHLD 1 547.242188 1587455332.0283
MEM 971.726562 1587455332.1379
CHLD 0 280.433594 1587455332.1478
CHLD 1 547.757812 1587455332.1478
MEM 971.984375 1587455332.2591
CHLD 0 280.433594 1587455332.2680
CHLD 1 548.015625 1587455332.2680
MEM 972.500000 1587455332.3794
CHLD 0 248.468750 1587455332.3899
CHLD 1 548.531250 1587455332.3899
MEM 940.792969 1587455332.4991
CHLD 0 248.468750 1587455332.5070
CHLD 1 548.789062 1587455332.5070
MEM 941.308594 1587455332.6151
CHLD 0 248.468750 1587455332.6248
CHLD 1 549.304688 1587455332.6249
MEM 941.566406 1587455332.7333
CHLD 0 248.468750 1587455332.7422
CHLD 1 549.820312 1587455332.7423
MEM 942.082031 1587455332.8512
CHLD 0 248.468750 1587455332.8589
CHLD 1 550.078125 1587455332.8590
MEM 942.597656 1587455332.9672
CHLD 0 248.468750 1587455332.9750
CHLD 1 550.593750 1587455332.9751
MEM 942.855469 1587455333.0847
CHLD 0 248.468750 1587455333.0935
CHLD 1 550.851562 1587455333.0935
MEM 943.371094 1587455333.2016
CHLD 0 248.468750 1587455333.2111
CHLD 1 551.367188 1587455333.2111
MEM 943.628906 1587455333.3209
CHLD 0 248.468750 1587455333.3290
CHLD 1 551.882812 1587455333.3290
MEM 944.144531 1587455333.4380
CHLD 0 248.468750 1587455333.4462
CHLD 1 552.140625 1587455333.4463
MEM 944.660156 1587455333.5548
CHLD 0 248.468750 1587455333.5640
CHLD 1 552.656250 1587455333.5641
MEM 944.917969 1587455333.6730
CHLD 0 248.468750 1587455333.6811
CHLD 1 552.914062 1587455333.6812
MEM 948.523438 1587455333.7912
CHLD 0 0.000000 1587455333.7987
CHLD 1 553.429688 1587455333.7988
