CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 1 251.476562 1587454977.1427
CHLD 2 328.554688 1587454977.1428
MEM 143.925781 1587454977.2431
CHLD 0 251.550781 1587454977.2512
CHLD 1 251.476562 1587454977.2512
CHLD 2 328.554688 1587454977.2513
MEM 143.925781 1587454977.3516
CHLD 0 251.808594 1587454977.3616
CHLD 1 251.476562 1587454977.3617
CHLD 2 328.554688 1587454977.3617
MEM 143.925781 1587454977.4621
CHLD 0 251.808594 1587454977.4737
CHLD 1 251.734375 1587454977.4738
CHLD 2 328.554688 1587454977.4738
MEM 143.925781 1587454977.5741
CHLD 0 252.066406 1587454977.5850
CHLD 1 251.734375 1587454977.5850
CHLD 2 328.554688 1587454977.5851
MEM 143.925781 1587454977.6854
CHLD 0 252.066406 1587454977.6946
CHLD 1 251.734375 1587454977.6946
CHLD 2 328.554688 1587454977.6946
MEM 143.925781 1587454977.7950
CHLD 0 252.066406 1587454977.8029
CHLD 1 251.992188 1587454977.8030
CHLD 2 328.554688 1587454977.8030
MEM 143.925781 1587454977.9033
CHLD 0 252.066406 1587454977.9114
CHLD 1 251.992188 1587454977.9114
CHLD 2 328.574219 1587454977.9114
MEM 143.925781 1587454978.0118
CHLD 0 252.324219 1587454978.0197
CHLD 1 252.250000 1587454978.0198
CHLD 2 328.628906 1587454978.0198
MEM 143.925781 1587454978.1201
CHLD 0 252.582031 1587454978.1284
CHLD 1 252.507812 1587454978.1285
CHLD 2 328.792969 1587454978.1285
MEM 143.925781 1587454978.2288
CHLD 0 252.839844 1587454978.2370
CHLD 1 252.507812 1587454978.2371
CHLD 2 328.792969 1587454978.2371
MEM 143.925781 1587454978.3375
CHLD 0 253.097656 1587454978.3468
CHLD 1 252.765625 1587454978.3468
CHLD 2 405.304688 1587454978.3469
MEM 143.925781 1587454978.4472
CHLD 0 253.355469 1587454978.4554
CHLD 1 253.023438 1587454978.4555
CHLD 2 509.375000 1587454978.4555
MEM 143.925781 1587454978.5559
CHLD 0 253.613281 1587454978.5640
CHLD 1 253.281250 1587454978.5641
CHLD 2 537.992188 1587454978.5641
MEM 143.925781 1587454978.6646
CHLD 0 254.101562 1587454978.6771
CHLD 1 253.539062 1587454978.6773
CHLD 2 594.195312 1587454978.6773
MEM 143.925781 1587454978.7777
CHLD 0 254.359375 1587454978.7875
CHLD 1 254.027344 1587454978.7875
CHLD 2 626.421875 1587454978.7875
